韻	字	簡化字	推導音	校正音	罕用標記	註
an	楩		pian2			
an	歂		chuan2			
an	源		yuan2			
an	溒		yuan2			
an	溓		lian2			
an	滇		tian2			
an	煔		han2			
an	煩	烦	fan2			
an	猿		yuan2			
an	獂		yuan2			
an	瑌		rhuan2			
an	甝		han2			
an	痰		tan2			
an	筨		han2			
an	絻		man2			
an	綄		huan2			
an	蒝		yuan2			
an	蜁		siuan2			
an	觠		quan2			
an	詽		yan2			
an	貆		huan2			
an	賆		pian2			
an	跰		pian2			
an	軿		pian2			
an	輇	辁	chuan2			
an	鄟		tuan2			
an	鈿	钿	tian2			
an	鉆	钻	qan2			
an	鉗	钳	qan2			
an	鉛	铅	yuan2			
an	頑	顽	wan2			
an	廉		lian2			
an	零		lian2			
an	㦁		lian2			
an	㨻		can2			
an	㹉		yuan2			
an	㼐		pian2			
an	䈄		han2			
an	䏼		can2			
an	䡘		tian2			
an	䴟		huan2			
an	僝		chan2			
an	僤		chan2			
an	團	团	tuan2			
an	墁		man2			
an	奩	奁	lian2			
an	嫙		siuan2			
an	嶃		chan2			
an	慚	惭	can2			
an	慱		tuan2			
an	慲		man2			
an	搫		pan2			
an	摶	抟	tuan2			
an	榞		yuan2			
an	榩		qan2			
an	榬		yuan2			
an	槃	盘	pan2			
an	槤		lian2			
an	漙		tuan2			
an	漹		yan2			
an	熑		lian2			
an	獌		man2			
an	獑		chan2			
an	甉		xan2			
an	碞		yan2			
an	箝		qan2			
an	綿	绵	mian2			
an	緐		fan2			
an	蔓		man2			
an	蜬		han2			
an	蜷		quan2			
an	覝		lian2			
an	誗		chan2			
an	銜	衔	xan2			
an	鋋		chan2			
an	鋋		yan2			
an	鳶	鸢	yuan2			
an	漣	涟	lian2			
an	蓮	莲	lian2			
an	㗴		yan2			
an	㜣		rhan2			
an	㺕		fan2			
an	䙇		rhuan2			
an	䢭		yan2			
an	䮄		xuan2			
an	儃		chan2			
an	儃		tan2			
an	匳		lian2			
an	嘫		nan2			
an	墦		fan2			
an	嫺		xan2			
an	嫻	娴	xan2			
an	嬋	婵	chan2			
an	廛		chan2			
an	彈	弹	tan2			
an	慙		can2			
an	憪		xan2			
an	撋		rhuan2			
an	撏		can2			
an	撏		chan2			
an	撣	掸	chan2			
an	撣	掸	tan2			
an	槾		man2			
an	樊		fan2			
an	樠		man2			
an	樠		wan2			
an	潛	潜	cian2			
an	潭		tan2			
an	潺		chan2			
an	潾		lan2			
an	璇		siuan2			
an	瘢		pan2			
an	盤	盘	pan2			
an	瞑		mian2			
an	磌		tian2			
an	磐		pan2			
an	稴		xan2			
an	窴		tian2			
an	箯		pian2			
an	篅		chuan2			
an	緜		mian2			
an	緣	缘	yuan2			
an	緶	缏	pian2			
an	緾		chan2			
an	羬		qan2			
an	羬		yan2			
an	臱		mian2			
an	蕁	荨	tan2			
an	蕃		fan2			
an	蝒		mian2			
an	蝝		yuan2			
an	蝯		yuan2			
an	談	谈	tan2			
an	賢	贤	xan2			
an	踡	蜷	quan2			
an	鋡		han2			
an	骿		pian2			
an	髯		rhan2			
an	鳹		qan2			
an	鳽		yan2			
an	憐	怜	lian2			
an	䁢		siuan2			
an	䃛		lian2			
an	䅼		man2			
an	䈲		pan2			
