韻	調	字	簡化字	推導音	校正音	罕用標記	註
a	2	瞂	瞂	fa2			
a	2	碬	碬	xa2			
a	2	磆	磆	hua2			
a	2	罰	罚	fa2			
a	2	膎	膎	xa2			
a	2	閥	阀	fa2			
a	2	犘	犘	ma2			
a	2	蕸	蕸	xa2			
a	2	薘	薘	da2			
a	2	蝦	虾	xa2			
a	2	螖	螖	hua2			
a	2	誻	誻	da2			
a	2	鋘	鋘	hua2			
a	2	霅	霅	xa2			
a	2	鞋	鞋	xa2			
a	2	頢	頢	hua2			
a	2	䈳	䈳	da2			
a	2	䙎	䙎	xa2			
a	2	䠍	䠍	xa2			
a	2	橃	橃	fa2			
a	2	縖	縖	xa2			
a	2	蟆	蟆	ma2			
a	2	赮	赮	xa2			
a	2	磼	磼	za2			
a	2	耫	耫	zha2			
a	2	藅	藅	fa2			
a	2	譁	哗	hua2			
a	2	蹋	蹋	da2			
a	2	轄	辖	xa2			
a	2	鍘	铡	zha2			
a	2	鍜	鍜	xa2			
a	2	霞	霞	xa2			
a	2	鮭	鲑	xa2			
a	2	䪗	䪗	xa2			
a	2	䫗	䫗	xa2			
a	2	巀	巀	za2			
a	2	鎋	鎋	xa2			
a	2	鏵	铧	hua2			
a	2	闒	闒	da2			
a	2	雜	杂	za2			
a	2	黠	黠	xa2			
a	2	䠧	䠧	cha2			
a	2	䣝	䣝	cha2			
a	2	䣟	䣟	za2			
a	2	䮢	䮢	zha2			
a	2	蹹	蹹	da2			
a	2	鞵	鞵	xa2			
a	2	騢	騢	xa2			
a	2	鼃	鼃	hua2			
a	2	齖	齖	ya2			
a	2	譫	谵	da2			
a	2	驊	骅	hua2			
a	2	鰕	鰕	xa2			
a	2	鶻	鹘	hua2			
a	2	䜚	䜚	da2			
a	2	䱻	䱻	hua2			
a	2	䳴	䳴	da2			
a	2	譶	譶	da2			
a	2	鶷	鶷	xa2			
a	2	鷨	鷨	hua2			
a	2	囋	囋	za2			
a	2	㩵	㩵	za2			
a	2	囐	囐	za2			
a	2	䕸	䕸	xa2			
a	2	䕹	䕹	za2			
a	2	雥	雥	za2			
a	2	躢	躢	da2			
a	2	䶥	䶥	cha2			
a	2	龖	龖	da2			
a	2	𠉤	𠉤	da2			
a	2	𠗉	𠗉	xa2			
a	2	𠢆	𠢆	xa2			
a	2	𠯑	𠯑	hua2			
a	2	𡑧	𡑧	xa2			
a	2	𡝐	𡝐	cha2			
a	2	𡨀	𡨀	cha2			
a	2	𢈙	𢈙	xa2			
a	2	𢘉	𢘉	xa2			
a	2	𢮟	𢮟	xa2			
a	2	𢶍	𢶍	za2			
a	2	𣘻	𣘻	cha2			
