序號	目次	聲	shengOrder	等	toenkOrder	呼	xuOrder	韻部	hiunnOrder	調	dewOrder	攝	shapOrder	反切	平水韻目	古韻羅馬字	有女羅馬字	推導拼音	小韻字數	字	備註	validation
82	上平4江	澄	CB3	二	2	開	1	江	上04	平	1	江	13	宅江	江	drung	deong	chuang2	6	幢撞橦𣃘噇𩪘		TRUE
83	上平4江	徹	CB2	二	2	開	1	江	上04	平	1	江	13	丑江	江	thrung	theong	chuang1	5	憃䚎𥡟䄝𧜧		TRUE
84	上平4江	知	CB1	二	2	開	1	江	上04	平	1	江	13	都江	江	trung	teong	zhuang1	2	樁𣻛		TRUE
85	上平4江	疑	D4	二	2	開	1	江	上04	平	1	江	13	五江	江	ngrung	ngeong	yang2	1	㟅		TRUE
86	上平4江	崇	CC3	二	2	開	1	江	上04	平	1	江	13	士江	江	zrung	dreong	chuang2	4	淙鬃㼻𩞐		TRUE
87	上平5支	章	CD1	三	3	開	1	支A	上05A	平	1	止	5	章移	支	cje	tje	zhi1	29	支𥾣只汥㲍卮(巵)梔衹枝㽻衼肢胑𨈛禔馶氏疻㩼鳷䧴觶榰㯄𪂅𧌔眵䡋𩍲		TRUE
88	上平5支	以	E5	三	3	開	1	支A	上05A	平	1	止	5	弋支	支	je	je	yi2	32	移䄬迻𠩗杝鉹袲箷𥠥㥴詑簃䔟熪扅衪暆迆(迤)𤝻栘歋酏匜拸謻𠗺蛇虵螔𠐀𣣢䬁		TRUE
89	上平5支	云	E4	三	3	合	2	支B	上05B	平	1	止	5	薳支	支	ye	hwe	wei2	6	爲為潙䧦鄬𩻟		TRUE
90	上平5支	見	D1	三	3	合	2	支B	上05B	平	1	止	5	居爲	支	kye	kwe	gui1	2	嬀(媯)潙(溈)		TRUE
91	上平5支	曉	E1	三	3	合	2	支B	上05B	平	1	止	5	許爲	支	hye	xwe	hui1	6	𪎮麾噅𩻟䧦撝		TRUE
92	上平5支	影	E3	三	3	合	2	支B	上05B	平	1	止	5	於爲	支	qye	we	wei1	10	逶𣨙萎㮃覣痿蜲倭委䴧蟡		TRUE
93	上平5支	明	A4	三	3	開	1	支B	上05B	平	1	止	5	靡爲	支	mie	mye	mi2	9	糜縻㸏𪎕蘼䊳𪎭𦗕醿		TRUE
94	上平5支	曉	E1	三	3	合	2	支A	上05A	平	1	止	5	許規	支	hjye	xve	hui1	9	隳!隓墮眭觿睢䜐鑴蘳	！表字头后退	TRUE
95	上平5支	澄	CB3	三	3	合	2	支B	上05B	平	1	止	5	直垂	支	drye	dwe	chui2	3	鬌錘甀		TRUE
96	上平5支	常	CD5	三	3	合	2	支A	上05A	平	1	止	5	是爲	支	zjye	zjve	chui2	10	垂!埀陲倕𦈼𨿠圌篅𥳙𠂹	𠂹=⿱𠂹𠃌	TRUE
97	上平5支	來	B5	三	3	合	2	支A	上05A	平	1	止	5	力爲	支	lye	lve	lei2	2	羸𡰠(𡰟)		TRUE
98	上平5支	昌	CD2	三	3	合	2	支A	上05A	平	1	止	5	昌垂	支	chjye	tcve	chui1	3	吹炊䶴{龡	{表古文	TRUE
99	上平5支	滂	A2	三	3	開	1	支B	上05B	平	1	止	5	敷羈	支	phie	phye	pi1	12	鈹帔鮍披𤱍耚狓翍旇秛㿫㱟	㿫=⿰比皮	TRUE
100	上平5支	幫	A1	三	3	開	1	支B	上05B	平	1	止	5	彼爲	支	pie	pye	bi1	11	陂詖碑羆𥀍𨰟𤜑𨧦𥶓襬藣|㗗㽡焷䴽錍		TRUE
101	上平5支	邪	CA5	三	3	合	2	支A	上05A	平	1	止	5	旬爲	支	zsye	szve	sui2	3	隨隋𥶻		TRUE
102	上平5支	溪	D2	三	3	合	2	支B	上05B	平	1	止	5	去爲	支	khye	qwe	kui1	1	虧		TRUE
103	上平5支	溪	D2	三	3	合	2	支A	上05A	平	1	止	5	去隨	支	khjye	qve	kui1	2	窺!闚		TRUE
104	上平5支	群	D3	三	3	開	1	支B	上05B	平	1	止	5	渠羈	支	gie	gye	qi2	10	奇(竒)琦騎鵸弜鬾碕㩽𢺷錡	㩽原作⿰朿支	TRUE
